url,url_type,label,reason,detail
http://www.dlschools.org/en-US/pages/5f285ea5-fa3d-41df-a4f2-4a6085420d84,school,SWEETWATER ELEMENTARY SCHOOL,extract_exception,"1 validation error for ExtractionResult
  Invalid JSON: EOF while parsing a string at line 1 column 13432 [type=json_invalid, input_value='{""contacts"":[{""first_nam...role"":""other"",""role_det', input_ty"
http://www.dlschools.org,school,SWEETWATER ELEMENTARY SCHOOL,no_staff_content_found,2 candidate page(s) checked
http://www.dps19.com,school,DRAYTON HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.fairmount.k12.nd.us,school,FAIRMOUNT HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.fargo.k12.nd.us/about-us/2-hour-late-start,school,DISCOVERY MIDDLE SCHOOL,http_404,
http://www.fargo.k12.nd.us/discovery,school,DISCOVERY MIDDLE SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.fargo.k12.nd.us,school,CENTENNIAL ELEMENTARY SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.fargo.k12.nd.us/south,school,SOUTH HIGH SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.fargo.k12.nd.us/davies,school,FARGO DAVIES HIGH SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.fargo.k12.nd.us/edclapp,school,ED CLAPP ELEMENTARY SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.fargo.k12.nd.us/eagles,school,EAGLES ELEMENTARY SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://sda.fargo.k12.nd.us/about-us/staff-directory,school,SELF-DIRECTED ACADEMY,http_404,
http://sda.fargo.k12.nd.us/employment/staff-recognition-program,school,SELF-DIRECTED ACADEMY,http_404,
http://sda.fargo.k12.nd.us/programs/self-directed-academy/about-us/meet-the-sda-staff,school,SELF-DIRECTED ACADEMY,http_404,
http://sda.fargo.k12.nd.us/,school,SELF-DIRECTED ACADEMY,no_staff_content_found,3 candidate page(s) checked
http://www.finleysharonschool.com,school,FINLEY-SHARON ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.flasher.k12.nd.us,school,FLASHER HIGH SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://www.fourwinds.k12.nd.us,school,FOUR WINDS COMMUNITY PK SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.fort-yates.k12.nd.us,school,FORT YATES PK SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.glen-ullin.k12.nd.us,school,GLEN ULLIN HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.glenburn.k12.nd.us,school,GLENBURN HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.gfschools.org/phoenix,school,PHOENIX ELEMENTARY SCHOOL,http_404,
http://www.gfschools.org/benfranklin,school,BEN FRANKLIN ELEMENTARY SCHOOL,http_404,
http://www.gfschools.org/gfc,school,CENTRAL HIGH SCHOOL,http_404,
http://www.gfschools.org/lakeagassiz,school,LAKE AGASSIZ ELEMENTARY SCHOOL,http_404,
http://www.gfschools.org/lewisandclark,school,LEWIS AND CLARK ELEMENTARY SCHOOL,http_404,
http://www.gfschools.org/Domain/651,school,NATHAN TWINING MIDDLE SCHOOL,http_404,
http://www.gfschools.org/redriver,school,RED RIVER HIGH SCHOOL,http_404,
http://www.gfschools.org/viking,school,VIKING ELEMENTARY SCHOOL,http_404,
http://www.gfschools.org/wilder,school,WILDER ELEMENTARY SCHOOL,http_404,
http://www.gfschools.org/winship,school,WINSHIP ELEMENTARY SCHOOL,http_404,
http://www.grenorapublicschool.org,school,GRENORA HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.hankinson.k12.nd.us,school,HANKINSON HIGH SCHOOL,http_403,
http://www.harvey.k12.nd.us,school,HARVEY HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.hattonk12.com,school,HATTON EIELSON HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.hmb.k12.nd.us,school,HAZELTON-MOFFIT-BRADDOCK ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.kenmare.k12.nd.us,school,KENMARE ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.killdeer.k12.nd.us/,school,KILLDEER HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.kulmschool.com,school,KULM HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.lakota.k12.nd.us/,school,LAKOTA ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://lakota-nd.schoolloop.com/,school,LAKOTA HIGH SCHOOL,http_403,
http://www.langdon.k12.nd.us,school,LANGDON AREA HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.larimorek12.org,school,LARIMORE HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.leeds.k12.nd.us/,school,LEEDS HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.lidgerwoodk12.com/,school,LIDGERWOOD HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.lisbonpublicschools.com/,school,LISBON MIDDLE SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://bca.mandan.k12.nd.us/,school,BRAVE CENTER ACADEMY,fetch_error:ConnectError,
http://manningelementaryschool.blogspot.com/?m=1,school,MANNING ELEMENTARY SCHOOL,http_404,
http://www.manvel.k12.nd.us,school,MANVEL ELEMENTARY SCHOOL,no_staff_content_found,3 candidate page(s) checked
http://marmarthschool12.com/home/,school,MARMARTH ELEMENTARY SCHOOL,fetch_error:ConnectError,
http://www.max.k12.nd.us/apps/events/2026/10/22/36013684/?REC_ID=36013684&id=0,school,MAX HIGH SCHOOL,http_403,
http://www.watford-city.k12.nd.us,school,WATFORD CITY VIRTUAL ACADEMY HIGH SCHOOL,fetch_error:ConnectError,
http://www.watford-city.k12.nd.us/schools/watford-middle/index,school,WATFORD CITY MIDDLE SCHOOL,fetch_error:ConnectError,
http://www.medina.k12.nd.us,school,MEDINA HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.midwayk12.org,school,MIDWAY ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.minnewaukan.k12.nd.us,school,MINNEWAUKAN HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.minot.k12.nd.us,school,MINOT NORTH HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.mintok12.org/,school,MINTO HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.wilton.k12.nd.us,school,WILTON HIGH SCHOOL,no_staff_content_found,2 candidate page(s) checked
http://www.munich.K12.nd.us,school,MUNICH HIGH SCHOOL,fetch_error:ConnectError,
http://www.napoleon.k12.nd.us,school,NAPOLEON HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.nedrose.k12.nd.us/,school,NEDROSE HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.ray.k12.nd.us,school,RAY HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.newtown.k12.nd.us/,school,NEW TOWN MIDDLE SCHOOL,no_staff_content_found,2 candidate page(s) checked
http://www.oberon.k12.nd.us/,school,OBERON ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.pingree-buchanan.k12.nd.us,school,PINGREE-BUCHANAN ELEMENTARY SCHOOL,no_staff_content_found,2 candidate page(s) checked
http://www.roletteschool.k12.nd.us,school,ROLETTE HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.carson.k12.nd.us/,school,ROOSEVELT ELEMENTARY SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.sawyer.k12.nd.us/,school,SAWYER HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
http://www.Selfridge.k12.nd.us,school,SELFRIDGE HIGH SCHOOL,no_staff_content_found,1 candidate page(s) checked
